scenario,mode,status,termination,solve_time_s,mipgap,best_bound,objective,Tmax,client_delay_sum,viol_C_sum,client_switches,positions_slack_used,switches_slot_sum,presence_sum,idle_sum,n_jobs,n_planes,n_clients,n_positions,H,model_id,preset,n_vars,n_cons,n_bin,scenario_type,window_tightness,jobs_per_plane_hint,positions_hint,seed,feasible,mipgap_filled
scn_few-tight_seed1_P2_pl5.xlsx,medium,ok,optimal,1038.0,,,610.07,9007000000000000.0,0.0,0.0,0.0,,0.0,0.0,520.0,14.0,5.0,3.0,5.0,93703.0,final,,,,,few,tight,2.0,5,1.0,True,
scn_few-tight_seed1_P2_pl5.xlsx,hard,ok,optimal,1306.0,,,610.07,9007000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,14.0,5.0,3.0,5.0,93703.0,final,,,,,few,tight,2.0,5,1.0,True,
scn_few-tight_seed2_P2_pl5.xlsx,soft12,ok,optimal,1.54,,,646822.0,96822.0,0.0,0.0,,,0.0,0.0,550.0,16.0,5.0,3.0,5.0,99328.0,final,,,,,few,tight,2.0,5,2.0,True,
scn_few-tight_seed2_P2_pl5.xlsx,soft,ok,optimal,2018.0,,,646822.0,96822.0,0.0,0.0,,,0.0,0.0,550.0,16.0,5.0,3.0,5.0,99328.0,final,,,,,few,tight,2.0,5,2.0,True,
scn_few-tight_seed2_P2_pl5.xlsx,medium,ok,optimal,1219.0,,,646822.0,96822.0,0.0,0.0,0.0,,0.0,0.0,550.0,16.0,5.0,3.0,5.0,99328.0,final,,,,,few,tight,2.0,5,2.0,True,
scn_few-tight_seed2_P2_pl5.xlsx,hard,ok,optimal,1201.0,,,646822.0,96822.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,16.0,5.0,3.0,5.0,99328.0,final,,,,,few,tight,2.0,5,2.0,True,
scn_few-tight_seed3_P2_pl5.xlsx,soft12,ok,optimal,0.693,,,502932.0,72932.0,0.0,0.0,,,0.0,430.0,0.0,13.0,5.0,3.0,5.0,75761.0,final,,,,,few,tight,2.0,5,3.0,True,
scn_few-tight_seed3_P2_pl5.xlsx,soft,ok,optimal,0.815,,,502932.0,72932.0,0.0,0.0,,,0.0,430.0,0.0,13.0,5.0,3.0,5.0,75761.0,final,,,,,few,tight,2.0,5,3.0,True,
scn_few-tight_seed3_P2_pl5.xlsx,medium,ok,optimal,0.985,,,502932.0,72932.0,0.0,0.0,0.0,,0.0,0.0,430.0,13.0,5.0,3.0,5.0,75761.0,final,,,,,few,tight,2.0,5,3.0,True,
scn_few-tight_seed3_P2_pl5.xlsx,hard,ok,optimal,1202.0,,,502932.0,72932.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,13.0,5.0,3.0,5.0,75761.0,final,,,,,few,tight,2.0,5,3.0,True,
scn_few-tight_seed4_P2_pl5.xlsx,soft12,ok,optimal,1158.0,,,659.18,9917999999999990.0,0.0,0.0,,,0.0,0.0,560.0,17.0,5.0,3.0,5.0,101358.0,final,,,,,few,tight,2.0,5,4.0,True,
scn_few-tight_seed4_P2_pl5.xlsx,soft,ok,optimal,0.926,,,659.18,9917999999999990.0,0.0,0.0,,,0.0,0.0,560.0,17.0,5.0,3.0,5.0,101358.0,final,,,,,few,tight,2.0,5,4.0,True,
scn_few-tight_seed4_P2_pl5.xlsx,medium,ok,optimal,1078.0,,,659.18,9917999999999990.0,0.0,0.0,0.0,,0.0,0.0,560.0,17.0,5.0,3.0,5.0,101358.0,final,,,,,few,tight,2.0,5,4.0,True,
scn_few-tight_seed4_P2_pl5.xlsx,hard,ok,optimal,1011.0,,,659.18,9917999999999990.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0,17.0,5.0,3.0,5.0,101358.0,final,,,,,few,tight,2.0,5,4.0,True,
scn_few-tight_seed5_P2_pl5.xlsx,soft12,ok,optimal,1869.0,,,605177.0,90177.0,0.0,0.0,,,0.0,515.0,0.0,16.0,5.0,3.0,5.0,92424.0,final,,,,,few,tight,2.0,5,5.0,True,
scn_few-tight_seed5_P2_pl5.xlsx,soft,ok,optimal,1154.0,,,605177.0,90177.0,0.0,0.0,,,0.0,515.0,0.0,16.0,5.0,3.0,5.0,92424.0,final,,,,,few,tight,2.0,5,5.0,True,
scn_few-tight_seed5_P2_pl5.xlsx,medium,ok,optimal,1026.0,,,605177.0,90177.0,0.0,0.0,0.0,,0.0,0.0,515.0,16.0,5.0,3.0,5.0,92424.0,final,,,,,few,tight,2.0,5,5.0,True,
scn_few-tight_seed5_P2_pl5.xlsx,hard,ok,optimal,1008.0,,,605177.0,90177.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0,16.0,5.0,3.0,5.0,92424.0,final,,,,,few,tight,2.0,5,5.0,True,
scn_few-tight_seed6_P2_pl5.xlsx,soft12,warning,infeasible,0.713,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,15.0,5.0,3.0,5.0,102366.0,final,,,,,few,tight,2.0,5,6.0,False,
scn_few-tight_seed6_P2_pl5.xlsx,soft,warning,infeasible,0.744,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,15.0,5.0,3.0,5.0,102366.0,final,,,,,few,tight,2.0,5,6.0,False,
scn_few-tight_seed6_P2_pl5.xlsx,medium,warning,infeasible,0.748,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,15.0,5.0,3.0,5.0,102366.0,final,,,,,few,tight,2.0,5,6.0,False,
scn_few-tight_seed6_P2_pl5.xlsx,hard,warning,infeasible,0.702,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,3.0,5.0,102366.0,final,,,,,few,tight,2.0,5,6.0,False,
scn_few-tight_seed7_P2_pl5.xlsx,soft12,ok,optimal,0.855,,,593862.0,8886200000000000.0,0.0,0.0,,,0.0,505.0,0.0,16.0,5.0,3.0,5.0,90961.0,final,,,,,few,tight,2.0,5,7.0,True,
scn_few-tight_seed7_P2_pl5.xlsx,soft,ok,optimal,0.942,,,593862.0,8886200000000000.0,0.0,0.0,,,0.0,505.0,0.0,16.0,5.0,3.0,5.0,90961.0,final,,,,,few,tight,2.0,5,7.0,True,
