scenario;mode;preset;status;termination;solve_time_s;mipgap;best_bound;objective;Tmax;client_delay_sum;viol_C_sum;client_switches;positions_slack_used;switches_slot_sum;presence_sum;idle_sum;n_jobs;n_planes;n_clients;n_positions;H
scn_few-loose_seed2_P3_pl5.xlsx;medium;base;ok;optimal;0.731;;40.736.199.999.999.900;40.736.199.999.999.900;37.361.999.999.999.900;0.0;0.0;0.0;;0.0;0.0;370.0;13;5;3;5;63.423
scn_few-loose_seed2_P3_pl5.xlsx;medium;fast;ok;optimal;1.135;;40.736.199.999.999.900;40.736.199.999.999.900;37.361.999.999.999.900;0.0;0.0;0.0;;0.0;0.0;370.0;13;5;3;5;63.423
scn_few-loose_seed2_P3_pl5.xlsx;medium;feasible;ok;optimal;1.152;;40.736.199.999.999.900;40.736.199.999.999.900;37.361.999.999.999.900;0.0;0.0;0.0;;0.0;0.0;370.0;13;5;3;5;63.423
scn_few-loose_seed2_P3_pl5.xlsx;hard;base;ok;optimal;0.964;;40.736.199.999.999.900;40.736.199.999.999.900;37.361.999.999.999.900;0.0;0.0;0.0;0.0;0.0;0.0;370.0;13;5;3;5;63.423
scn_few-loose_seed2_P3_pl5.xlsx;hard;fast;ok;optimal;1.185;;40.736.199.999.999.900;40.736.199.999.999.900;37.361.999.999.999.900;0.0;0.0;0.0;0.0;0.0;0.0;370.0;13;5;3;5;63.423
scn_few-loose_seed2_P3_pl5.xlsx;hard;feasible;ok;optimal;1.339;;40.736.199.999.999.900;40.736.199.999.999.900;37.361.999.999.999.900;0.0;0.0;0.0;0.0;0.0;0.0;370.0;13;5;3;5;63.423
scn_few-loose_seed3_P3_pl5.xlsx;soft12;base;ok;optimal;0.3;;256.88;256.88;21.879.999.999.999.900;0.0;0.0;;;0.0;0.0;235.0;8;5;3;5;36.841
scn_few-loose_seed3_P3_pl5.xlsx;soft12;fast;ok;optimal;0.329;;256.88;256.88;21.879.999.999.999.900;0.0;0.0;;;0.0;0.0;235.0;8;5;3;5;36.841
scn_few-loose_seed3_P3_pl5.xlsx;soft12;feasible;ok;optimal;0.366;;256.88;256.88;21.879.999.999.999.900;0.0;0.0;;;0.0;0.0;235.0;8;5;3;5;36.841
scn_few-loose_seed3_P3_pl5.xlsx;soft;base;ok;optimal;0.498;;256.88;256.88;21.879.999.999.999.900;0.0;0.0;;;0.0;0.0;235.0;8;5;3;5;36.841
scn_few-loose_seed3_P3_pl5.xlsx;soft;fast;ok;optimal;0.397;;256.88;256.88;21.879.999.999.999.900;0.0;0.0;;;0.0;0.0;235.0;8;5;3;5;36.841
