file,mode,solve_time_s,status,termination,gap,best_bound,objective,Tmax,client_delay_sum,viol_C_sum,client_switches,positions_slack_used,switches_slot_sum,presence_sum,idle_sum,n_positions,n_jobs,n_planes,n_clients,H
scn_few-loose_seed101.xlsx,soft12,0.692,ok,optimal,,,199.448,34.448,0.0,0.0,0.0,0.0,0.0,0.0,165.0,5.0,14.0,3.0,2.0,44.658
scn_few-loose_seed101.xlsx,soft,0.634,ok,optimal,,,199.448,34.448,0.0,4.0,0.0,0.0,0.0,0.0,165.0,5.0,14.0,3.0,2.0,44.658
scn_few-loose_seed101.xlsx,medium,0.84,ok,optimal,,,199.448,34.448,0.0,6.0,0.0,0.0,0.0,0.0,165.0,5.0,14.0,3.0,2.0,44.658
scn_few-loose_seed101.xlsx,hard,0.772,ok,optimal,,,199.448,34.448,0.0,2.0,0.0,0.0,0.0,0.0,165.0,5.0,14.0,3.0,2.0,44.658
scn_few-loose_seed102.xlsx,soft12,0.552,ok,optimal,,,186.059,30.059,0.0,0.0,0.0,0.0,0.0,0.0,156.0,5.0,12.0,3.0,2.0,41.311
scn_few-loose_seed102.xlsx,soft,0.556,ok,optimal,,,186.059,30.059,0.0,5.0,0.0,0.0,0.0,156.0,0.0,5.0,12.0,3.0,2.0,41.311
scn_few-loose_seed102.xlsx,medium,0.677,ok,optimal,,,186.059,30.059,0.0,5.0,0.0,0.0,0.0,0.0,156.0,5.0,12.0,3.0,2.0,41.311
scn_few-loose_seed102.xlsx,hard,0.606,ok,optimal,,,186.059,30.059,0.0,3.0,0.0,0.0,0.0,0.0,156.0,5.0,12.0,3.0,2.0,41.311
scn_few-loose_seed103.xlsx,soft12,0.493,ok,optimal,,,196.37,34.370000000000005,0.0,0.0,0.0,0.0,0.0,0.0,162.0,5.0,12.0,3.0,2.0,43.435
scn_few-loose_seed103.xlsx,soft,0.478,ok,optimal,,,196.37,34.370000000000005,0.0,6.0,0.0,0.0,0.0,0.0,162.0,5.0,12.0,3.0,2.0,43.435
scn_few-loose_seed103.xlsx,medium,0.541,ok,optimal,,,196.37,34.37,0.0,5.0,0.0,0.0,0.0,0.0,162.0,5.0,12.0,3.0,2.0,43.435
scn_few-loose_seed103.xlsx,hard,0.575,ok,optimal,,,196.37,34.37,0.0,3.0,0.0,0.0,0.0,0.0,162.0,5.0,12.0,3.0,2.0,43.435
scn_few-loose_seed104.xlsx,soft12,0.487,ok,optimal,,,166.124,28.124,0.0,0.0,0.0,0.0,0.0,0.0,138.0,5.0,10.0,3.0,2.0,35.236
scn_few-loose_seed104.xlsx,soft,0.407,ok,optimal,,,166.124,28.124,0.0,1.0,0.0,0.0,0.0,0.0,138.0,5.0,10.0,3.0,2.0,35.236
scn_few-loose_seed104.xlsx,medium,0.425,ok,optimal,,,166.124,28.124,0.0,2.0,0.0,0.0,0.0,0.0,138.0,5.0,10.0,3.0,2.0,35.236
scn_few-loose_seed104.xlsx,hard,0.378,ok,optimal,,,166.124,28.124,0.0,2.0,0.0,0.0,0.0,0.0,138.0,5.0,10.0,3.0,2.0,35.236
scn_few-loose_seed105.xlsx,soft12,0.502,ok,optimal,,,193.907,34.907000000000004,0.0,0.0,0.0,0.0,0.0,159.0,0.0,5.0,12.0,3.0,2.0,42.243
scn_few-loose_seed105.xlsx,soft,0.519,ok,optimal,,,193.907,34.907000000000004,0.0,5.0,0.0,0.0,0.0,159.0,0.0,5.0,12.0,3.0,2.0,42.243
scn_few-loose_seed105.xlsx,medium,0.622,ok,optimal,,,193.907,34.907000000000004,0.0,4.0,0.0,0.0,0.0,0.0,159.0,5.0,12.0,3.0,2.0,42.243
scn_few-loose_seed105.xlsx,hard,0.688,ok,optimal,,,193.907,34.907000000000004,0.0,2.0,0.0,0.0,0.0,0.0,159.0,5.0,12.0,3.0,2.0,42.243
scn_few-loose_seed106.xlsx,soft12,0.866,ok,optimal,,,191.51299999999986,35.51299999999988,0.0,0.0,0.0,0.0,0.0,156.0,0.0,5.0,12.0,3.0,2.0,41.789
scn_few-loose_seed106.xlsx,soft,0.746,ok,optimal,,,191.51299999999986,35.51299999999988,0.0,6.0,0.0,0.0,0.0,156.0,0.0,5.0,12.0,3.0,2.0,41.789
scn_few-loose_seed106.xlsx,medium,0.716,ok,optimal,,,188.382,32.382,0.0,4.0,0.0,0.0,0.0,0.0,156.0,5.0,12.0,3.0,2.0,41.789
scn_few-loose_seed106.xlsx,hard,0.735,ok,optimal,,,188.382,32.382,0.0,3.0,0.0,0.0,0.0,0.0,156.0,5.0,12.0,3.0,2.0,41.789
scn_few-loose_seed107.xlsx,soft12,0.579,ok,optimal,,,167.707,26.707,0.0,0.0,0.0,0.0,0.0,0.0,141.0,5.0,10.0,3.0,2.0,36.677
scn_few-loose_seed107.xlsx,soft,0.438,ok,optimal,,,167.707,26.707,0.0,5.0,0.0,0.0,0.0,0.0,141.0,5.0,10.0,3.0,2.0,36.677
scn_few-loose_seed107.xlsx,medium,0.516,ok,optimal,,,167.707,26.707,0.0,3.0,0.0,0.0,0.0,0.0,141.0,5.0,10.0,3.0,2.0,36.677
scn_few-loose_seed107.xlsx,hard,0.513,ok,optimal,,,167.707,26.707,0.0,3.0,0.0,0.0,0.0,0.0,141.0,5.0,10.0,3.0,2.0,36.677
